Geo_GEOID,Geo_NAME,SE_T001_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T003_003,SE_T150_002,SE_T150_008,SE_T027_008,SE_T030_002,SE_T037_003,SE_T049_003,SE_T049_004,SE_T049_005,SE_T049_006,SE_T049_007,SE_T049_009,SE_T049_011,SE_T049_012,SE_T053_003,SE_T053_004,SE_T053_006,SE_T056_002,SE_T056_017,SE_T080_002,SE_T108_002,SE_T114_002,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T129_009,SE_T145_002,SE_T131_002,B07003013,B07003016,B10063002
05000US01049,"DeKalb County, Alabama",70937,70937,91.28496,778.6854,777.0941,1.591335,12981,237,53,181,1894,2048,7900,704,3641,1425,856,4601,1831,3352,3508,26,2694,317,404,8584,4888,11,63,6,184,456,11246,3762,1121,72,1169
05000US01051,"Elmore County, Alabama",80957,80957,130.895,657.0406,618.488,38.55259,7238,313,179,215,2694,2700,4217,859,3573,1501,2041,6571,2645,7725,2691,20,1777,705,380,13896,4036,71,120,19,132,706,6665,6976,1179,278,1214
05000US01053,"Escambia County, Alabama",37875,37875,40.07595,953.1396,945.0804,8.059093,5035,76,23,418,2153,764,1994,251,1319,995,535,2144,1381,2201,859,12,1903,197,245,3481,2735,39,6,0,124,280,6244,2774,462,0,880
05000US01055,"Etowah County, Alabama",103363,103363,193.0993,548.629,535.2841,13.3448,12582,405,218,195,3837,2705,8019,1156,4651,2281,1736,9872,3564,5879,3443,91,3413,705,385,14739,6426,106,63,25,255,892,12365,7617,1496,327,1755
05000US01057,"Fayette County, Alabama",16783,16783,26.73799,629.3559,627.6837,1.672163,2452,82,62,15,598,334,1527,103,627,514,229,1471,399,882,365,12,845,103,77,2100,820,1,0,0,57,191,1400,1219,103,35,245
05000US01059,"Franklin County, Alabama",31573,31573,49.81407,646.5225,633.817,12.70555,5092,100,23,161,1323,1045,3623,275,1284,626,360,2393,672,1803,1037,2,1164,138,235,3845,2877,29,74,0,37,516,4415,1390,427,230,442
05000US01061,"Geneva County, Alabama",26765,26765,46.59577,578.9509,574.4083,4.542522,4196,0,0,19,1175,898,1393,551,999,799,318,2127,582,1549,1340,14,1043,136,123,3539,2070,3,18,13,77,288,3883,2119,461,13,562
05000US01063,"Greene County, Alabama",8587,8587,13.26987,659.9407,647.1048,12.83587,1375,5,0,0,521,167,509,0,289,174,80,651,108,472,204,0,685,0,111,654,1217,37,0,0,30,96,1199,383,79,0,157
05000US01065,"Hale County, Alabama",15159,15159,23.5409,656.5013,643.9429,12.55831,1903,20,11,22,691,332,840,63,783,198,194,1347,224,784,384,0,938,107,109,1909,1222,2,0,9,30,133,1649,709,59,21,498
05000US01067,"Henry County, Alabama",17187,17187,30.59544,568.309,561.7503,6.55865,2359,29,14,25,574,361,881,333,752,707,270,1608,674,983,659,5,640,73,105,3031,703,5,5,0,78,132,1940,1319,253,42,349
05000US01069,"Houston County, Alabama",103891,103891,179.1637,581.6778,579.8663,1.811417,10684,511,220,149,3845,2622,4225,1593,6342,3407,1794,10503,4047,5474,3960,127,3591,1247,523,14832,7291,115,70,31,359,663,12482,8844,2564,142,1607
05000US01071,"Jackson County, Alabama",52608,52608,48.80748,1126.77,1077.868,48.9026,7615,179,39,73,1975,1489,5562,394,2470,1342,954,4115,1086,3378,1886,14,2251,353,449,6532,3228,11,12,0,206,404,6223,3574,644,40,822
05000US01073,"Jefferson County, Alabama",659096,659096,593.0917,1123.816,1111.289,12.52756,49094,7388,3352,1309,26632,15851,25929,9032,32857,16320,26047,76578,27375,41254,23224,514,25197,11420,5079,105247,40211,2881,237,474,3778,3631,71081,40286,12793,2071,11164
05000US01075,"Lamar County, Alabama",14066,14066,23.2555,605.4643,604.8463,0.6180257,2258,48,20,53,542,353,981,136,411,476,195,909,335,841,377,72,696,70,254,1510,1142,33,3,1,14,193,1768,880,219,9,221
05000US01077,"Lauderdale County, Alabama",92641,92641,138.7465,719.5999,667.6996,51.90021,9559,637,273,174,3249,2945,5352,1188,5264,2958,1831,8368,3792,6131,3529,56,3608,905,532,14192,4949,84,23,112,644,997,10115,6528,2210,249,1465
05000US01079,"Lawrence County, Alabama",33433,33433,48.4061,717.1978,690.6775,26.52034,5261,23,6,39,1145,1231,3151,227,1237,820,371,2211,702,1701,962,53,1122,69,166,5084,1593,34,9,0,88,146,3669,1730,88,27,673
05000US01081,"Lee County, Alabama",153947,153947,253.389,615.8489,607.552,8.296925,10170,2995,929,469,4579,3363,8767,1140,8769,2333,4603,20997,7242,14117,4542,125,7669,1844,641,21315,7795,612,195,188,1468,1095,14469,10050,7601,1211,2539
05000US01083,"Limestone County, Alabama",90257,90257,161.1906,607.1874,559.9395,47.24795,10449,410,198,190,3304,3395,6028,823,4484,1871,1566,6542,2797,6126,3400,71,2471,1175,514,14795,3766,41,66,12,191,441,10913,6696,1769,90,1159
05000US01085,"Lowndes County, Alabama",10565,10565,14.75741,725.0702,715.9114,9.158747,1805,19,19,21,498,181,839,178,394,191,140,715,209,596,203,46,689,57,111,1262,1126,13,0,0,8,37,1325,434,49,7,352
05000US01087,"Macon County, Alabama",19684,19684,32.32671,613.2079,608.9082,4.299681,2425,151,74,95,1344,356,1194,87,779,218,200,2644,672,1477,416,18,1345,22,116,2216,1306,70,0,12,480,77,2098,1455,710,70,479
05000US01089,"Madison County, Alabama",349973,349973,436.5883,812.7152,801.6088,11.10643,21757,4051,923,606,13257,7238,19550,2877,18046,5336,5872,34544,13494,32971,11348,360,9292,7947,2458,64907,14431,399,295,176,1462,1740,35737,32804,10762,1498,4501
05000US01091,"Marengo County, Alabama",20066,20066,20.54087,982.6713,976.8818,5.789426,2208,64,23,8,1087,260,1165,123,775,646,245,1697,344,1178,525,52,1648,92,120,2442,1832,31,0,0,92,234,2431,940,109,76,361
05000US01093,"Marion County, Alabama",30239,30239,40.73734,743.5713,742.2921,1.279218,4331,33,5,107,973,723,2481,311,1177,616,608,2582,629,2033,992,47,1291,238,202,4297,1560,5,39,0,97,280,2838,1845,448,97,540
05000US01095,"Marshall County, Alabama",94534,94534,167.0678,623.1794,565.842,57.33742,13557,310,85,212,2965,3249,7991,916,4885,1801,1557,7194,2627,5451,3899,50,2700,891,527,13261,7845,119,25,3,438,852,14389,6541,1304,109,1444
05000US01097,"Mobile County, Alabama",414291,414291,336.9863,1644.012,1229.4,414.6123,39097,2000,838,1276,16358,11666,21059,5118,21696,9284,8751,41690,15668,23367,11975,275,15792,3865,2533,62692,28398,833,135,133,1825,2635,53381,29457,7752,1093,7672
05000US01099,"Monroe County, Alabama",21975,21975,21.42466,1034.417,1025.687,8.729645,2676,126,100,223,1808,495,1297,119,759,474,139,1167,555,1223,391,0,2206,66,119,2267,2029,18,0,0,51,298,3571,1177,191,12,418
05000US01101,"Montgomery County, Alabama",227392,227392,289.9064,799.9118,784.3635,15.54836,21741,1995,818,704,9320,4093,11637,1966,11971,3610,6098,22400,10589,22615,7419,128,8949,3107,1762,36006,16719,733,107,68,1467,1201,26930,17295,6329,1591,4112
05000US01103,"Morgan County, Alabama",119555,119555,206.3571,599.0533,579.3597,19.69355,14363,382,170,158,4964,4583,10150,1067,7017,2069,1924,9554,3798,6449,4186,98,4017,963,641,18701,6593,114,59,78,374,717,14842,8358,1519,103,1507
05000US01105,"Perry County, Alabama",9856,9856,13.69529,723.8792,719.6636,4.21565,1403,66,15,78,339,92,474,9,188,113,112,693,328,450,163,0,621,35,58,772,1366,0,0,0,110,80,1493,566,258,7,177
05000US01107,"Pickens County, Alabama",20042,20042,22.73804,890.1257,881.4303,8.695489,2662,47,3,106,968,541,1328,234,979,433,271,1427,286,1106,463,20,1294,134,158,2331,1593,32,0,0,93,200,2120,1552,427,36,368
05000US01109,"Pike County, Alabama",33277,33277,49.51168,673.0063,672.104,0.9023111,3932,270,158,62,1546,786,2258,230,2207,725,615,3426,1162,2558,1017,13,2141,166,183,3699,2028,83,48,1,310,114,3490,2171,616,276,405
05000US01111,"Randolph County, Alabama",22615,22615,38.95448,584.1345,580.5494,3.585073,3547,61,0,121,735,728,2375,126,887,473,387,1531,357,1186,803,16,1068,104,149,2592,1586,15,10,0,74,117,2670,1612,467,12,426
05000US01113,"Russell County, Alabama",58636,58636,91.45387,647.1916,641.1539,6.037725,6726,212,153,160,2435,1421,2910,247,2655,964,2005,5024,2356,4475,1195,18,2496,203,559,8087,4499,132,27,0,305,400,8653,5727,4250,322,1375
05000US01115,"St. Clair County, Alabama",86576,86576,137.008,653.6396,631.9045,21.73507,9919,393,90,298,2626,3887,5903,1707,4826,2591,2472,6595,2776,4235,3440,52,2241,566,445,15316,3335,74,65,0,208,451,7611,6364,883,33,1499
05000US01117,"Shelby County, Alabama",205951,205951,262.2347,809.524,785.369,24.15502,11714,1708,772,217,4976,6335,7679,3330,12376,5603,11092,22082,8135,12807,9120,219,2909,4776,729,42916,5359,213,234,24,596,1426,16686,12922,4780,511,2514
05000US01119,"Sumter County, Alabama",13285,13285,14.69759,913.3222,903.8895,9.432739,1657,68,51,9,782,150,577,68,486,305,161,1446,568,952,277,0,1299,21,80,1309,1235,20,4,0,118,132,2392,587,99,8,222
05000US01121,"Talladega County, Alabama",81057,81057,110.0156,760.306,736.7772,23.52877,11304,206,81,238,4224,1995,6658,653,3508,1835,1548,6691,2438,5204,2239,83,3390,351,788,11655,5592,218,67,59,429,687,8688,5512,1241,145,1523
05000US01123,"Tallapoosa County, Alabama",40958,40958,57.16235,766.2542,716.5206,49.73351,5886,119,36,160,1641,1149,3708,295,1391,824,734,3552,885,2069,1287,73,1818,219,329,5764,3652,21,11,11,84,310,4338,3248,536,5,668
05000US01125,"Tuscaloosa County, Alabama",202471,202471,153.1925,1351.251,1321.677,29.57406,14604,2511,909,419,6782,5778,12836,1611,9654,3654,3690,27544,7959,17480,6504,91,6668,2111,3166,28708,9424,424,74,361,1319,887,19547,10702,8466,909,2725
05000US01127,"Walker County, Alabama",65593,65593,82.90385,805.1932,791.1937,13.99957,9786,117,50,237,2938,1626,2630,629,3640,1782,960,5569,1665,3444,1928,45,2452,434,437,7878,4518,73,68,0,206,891,8206,4400,827,86,1517
05000US01129,"Washington County, Alabama",16909,16909,15.65349,1088.566,1080.207,8.359435,2335,1,0,55,1086,677,1284,212,581,354,158,1014,271,849,424,15,672,55,36,2000,1167,0,9,0,75,326,2296,869,89,3,339
05000US01131,"Wilcox County, Alabama",11119,11119,12.51437,907.4116,888.4983,18.91327,1499,31,23,44,763,189,477,4,294,241,146,634,153,661,223,0,970,29,64,722,1250,4,0,7,36,42,1645,539,11,20,243
05000US01133,"Winston County, Alabama",24013,24013,39.17424,631.8685,612.9792,18.88917,4145,127,40,77,855,656,2023,384,889,776,351,1817,386,1354,1133,11,943,86,162,2910,1671,15,17,0,44,597,3052,1479,145,0,356
05000US02013,"Aleutians East Borough, Alaska",3299,3299,0.4725035,15010.16,6981.959,8028.201,398,11,0,16,66,55,1515,2,53,96,15,174,78,422,198,2,27,33,45,150,72,4,0,0,1630,0,1713,120,250,42,27
05000US02016,"Aleutians West Census Area, Alaska",5714,5714,1.301517,14116.42,4390.26,9726.157,520,16,6,0,45,306,1518,134,351,572,81,330,104,707,179,0,30,97,20,175,76,12,2,11,1772,0,1181,267,461,184,47
05000US02020,"Anchorage Municipality, Alaska",299321,299321,175.3895,1962.608,1706.607,256.0005,12854,2383,984,471,9857,9791,3350,3632,16215,12292,7452,35256,16031,32074,13449,257,2934,9257,5810,45521,9106,3042,231,1932,5144,2517,41907,28539,13555,2305,3558
05000US02050,"Bethel Census Area, Alaska",17885,17885,0.4408416,45504.36,40570.13,4934.236,1815,43,28,140,1440,237,26,14,717,723,175,2171,207,2797,160,0,299,124,729,1014,2033,309,10,30,1842,0,4420,716,130,4,706
05000US02060,"Bristol Bay Borough, Alaska",942,942,1.869604,887.5723,503.8501,383.7221,48,0,0,0,32,35,10,4,32,87,14,93,56,197,59,0,13,18,16,95,17,1,0,3,62,0,189,72,47,0,8
05000US02068,"Denali Borough, Alaska",2125,2125,0.1666981,12773.11,12747.6,25.5093,57,13,0,1,16,70,8,0,43,133,16,126,608,301,121,12,38,41,32,248,21,11,6,2,291,25,484,167,193,44,6
05000US02070,"Dillingham Census Area, Alaska",4980,4980,0.2681927,20915.03,18568.74,2346.289,373,23,10,22,245,56,71,8,191,156,58,699,56,789,97,0,81,44,208,277,359,43,0,6,436,0,1282,141,75,4,167
05000US02090,"Fairbanks North Star Borough, Alaska",100150,100150,13.63828,7449.549,7343.299,106.2497,3433,1106,524,112,4344,3754,876,770,6334,3574,1326,12726,4252,14030,3374,98,1081,2080,1731,14503,2371,616,209,614,1975,843,10874,10973,8016,1455,1008
05000US02100,"Haines Borough, Alaska",2528,2528,1.08956,2725.488,2320.202,405.2855,84,25,2,0,54,100,31,27,235,58,50,293,188,291,290,13,53,78,88,461,18,18,15,43,121,6,588,161,110,21,11
05000US02105,"Hoonah-Angoon Census Area, Alaska",2107,2107,0.3216425,9562.224,6550.751,3011.473,149,7,7,2,119,74,88,0,84,106,20,145,165,292,206,0,36,9,44,173,114,19,0,30,317,7,546,188,39,13,47
05000US02110,"Juneau City and Borough, Alaska",32524,32524,12.03698,3253.925,2702.006,551.919,975,315,120,31,929,1113,290,247,1545,1470,653,3965,1324,6881,1835,24,359,952,653,5563,943,713,27,208,1212,229,3917,2504,1458,171,369
05000US02122,"Kenai Peninsula Borough, Alaska",57637,57637,3.585487,24752.21,16075.08,8677.133,2874,252,81,181,2451,2049,1077,308,2894,1662,946,6224,2480,4891,3747,154,1007,1045,1349,8879,1923,257,26,119,1361,608,11386,5668,1848,169,399
05000US02130,"Ketchikan Gateway Borough, Alaska",13715,13715,2.822942,6653.56,4858.406,1795.154,751,89,36,63,559,538,268,102,1041,798,348,1459,508,1795,807,60,167,307,434,2038,531,232,14,20,615,22,2075,1305,682,99,194
05000US02150,"Kodiak Island Borough, Alaska",13918,13918,2.124772,12021.84,6550.351,5471.486,840,25,6,54,272,269,988,158,702,412,268,1447,604,1984,1129,15,138,216,223,1877,435,156,13,30,732,20,3002,1085,640,192,116
05000US02158,"Kusilvak Census Area, Alaska",7993,7993,0.4679369,19672.89,17081.36,2591.525,814,2,2,48,773,121,94,5,258,181,46,748,49,1239,22,5,171,9,344,318,1330,0,1,22,1044,0,2075,265,70,1,446
05000US02164,"Lake and Peninsula Borough, Alaska",1411,1411,0.06016995,32922.26,23450.24,9472.013,114,0,0,2,82,34,50,3,20,72,9,151,49,316,50,4,33,8,58,84,106,4,0,6,195,1,479,51,18,4,32
05000US02170,"Matanuska-Susitna Borough, Alaska",98679,98679,4.010047,25257.62,24607.94,649.6789,4768,403,163,247,4596,5148,1070,858,4994,2866,1270,9739,3416,8759,4795,70,1352,1718,2176,16491,2997,469,72,53,766,2089,16791,10443,3001,297,1071
05000US02180,"Nome Census Area, Alaska",9879,9879,0.4302147,28278.81,22962.95,5315.856,815,27,6,61,758,135,119,14,317,309,86,1323,232,1564,208,10,225,99,348,782,1095,63,12,41,1269,8,2598,468,256,17,429
05000US02185,"North Slope Borough, Alaska",9681,9681,0.1089724,94937.71,88839.04,6098.668,735,20,4,30,597,457,236,72,329,371,137,671,226,1400,60,2,90,159,79,385,430,259,0,0,2199,34,2393,623,372,44,304
05000US02188,"Northwest Arctic Borough, Alaska",7723,7723,0.2167229,40618.68,35635.36,4983.321,844,27,17,50,749,140,74,18,213,310,61,815,154,1172,49,4,97,79,262,368,822,36,0,11,1169,15,2397,290,174,9,402
05000US02195,"Petersburg Borough, Alaska",3196,3196,1.095427,3843.941,2917.584,926.3577,161,4,2,12,101,84,223,11,159,54,59,282,94,444,207,0,62,56,84,416,70,17,4,25,388,4,497,241,97,12,43
05000US02198,"Prince of Wales-Hyder Census Area, Alaska",6374,6374,1.211318,10875.43,5262.039,5613.387,410,38,4,1,439,171,226,28,275,238,75,641,210,1088,391,8,148,39,215,529,327,43,0,9,479,54,1984,531,244,12,110
05000US02220,"Sitka City and Borough, Alaska",8921,8921,3.107948,4811.405,2870.383,1941.022,463,132,58,28,224,262,233,20,388,389,124,1460,527,1377,804,0,188,171,229,1079,219,74,0,184,784,63,1630,703,461,59,74
05000US02230,"Skagway Municipality, Alaska",1014,1014,2.241777,464.0308,452.3198,11.71097,28,8,1,0,50,37,57,4,107,130,17,44,150,148,91,1,2,9,11,151,5,6,6,37,273,1,237,74,90,6,4
05000US02240,"Southeast Fairbanks Census Area, Alaska",6970,6970,0.2814159,25058.06,24767.61,290.4526,416,19,2,15,312,313,49,137,143,180,33,684,76,889,303,11,119,56,120,477,352,20,0,1,452,31,1489,793,240,51,64
05000US02261,"Valdez-Cordova Census Area, Alaska",9522,9522,0.2781097,40338.32,34238.29,6100.031,452,28,13,9,446,358,231,22,336,325,93,866,306,1548,624,17,188,221,152,1032,142,12,0,14,754,63,1943,1091,722,96,49
05000US02275,"Wrangell City and Borough, Alaska",2401,2401,0.9447211,3462.068,2541.491,920.5776,210,3,2,8,85,56,38,7,153,121,38,298,44,352,222,26,38,25,70,326,74,9,0,8,166,10,432,223,57,18,25
05000US02282,"Yakutat City and Borough, Alaska",646,646,0.08445047,9462.837,7649.455,1813.382,25,0,0,0,28,11,31,2,33,30,7,47,36,162,57,0,12,3,17,72,16,3,0,15,91,2,123,59,38,0,10
05000US02290,"Yukon-Koyukuk Census Area, Alaska",5600,5600,0.03848983,147792,145493,2299.006,606,10,0,36,470,152,35,16,171,229,21,580,103,1210,171,0,228,25,210,220,478,7,13,7,765,11,1966,384,114,30,151
05000US04001,"Apache County, Arizona",72346,72346,6.460927,11218.38,11197.46,20.91676,9499,138,52,283,3428,1499,320,175,1838,1291,567,7030,1537,8426,1073,23,3830,95,1501,3724,9364,211,0,35,920,1109,16878,3097,712,140,2219
05000US04003,"Cochise County, Arizona",128177,128177,20.79251,6217.48,6164.575,52.90562,11823,648,302,256,4022,2293,1671,565,4736,1772,1613,9657,4593,13099,3836,135,4557,1316,1594,18811,7589,294,327,200,1705,726,11654,18081,7123,1328,2471
05000US04005,"Coconino County, Arizona",138064,138064,7.415355,18661.17,18618.66,42.50437,8904,1893,708,403,5859,3707,4520,597,7538,2725,2238,18839,12550,15640,5711,96,4446,1876,776,15656,7619,1247,133,1603,5211,1303,22509,7472,6888,666,2237
05000US04007,"Gila County, Arizona",53179,53179,11.17677,4795.492,4757.993,37.49876,6065,360,121,160,2487,1741,694,247,2162,812,862,4443,2366,4229,1915,27,1945,303,447,6802,3810,42,22,17,653,701,7360,5693,1101,198,1380
05000US04009,"Graham County, Arizona",37529,37529,8.118407,4641.027,4622.705,18.32261,3353,86,49,120,2025,703,414,156,1706,359,393,3065,1082,2985,666,14,1150,135,321,4178,2909,115,74,25,337,262,3800,2224,1301,224,789
05000US04011,"Greenlee County, Arizona",9224,9224,5.00766,1847.287,1841.978,5.309078,701,0,0,42,347,326,39,43,220,114,50,530,278,531,144,6,136,55,65,546,481,0,3,0,71,87,1052,720,282,31,193
05000US04012,"La Paz County, Arizona",20304,20304,4.512374,4513.746,4499.627,14.11898,3818,113,11,64,752,243,247,112,731,334,393,767,1237,1731,676,0,922,77,212,1683,1318,21,72,29,382,18,2462,2492,630,65,322
05000US04013,"Maricopa County, Arizona",4088549,4088549,444.4465,9224.053,9199.192,24.86076,348801,31038,12429,11576,136703,126789,142891,48587,230435,96421,183266,394682,187330,213163,181047,2690,98666,76631,28439,619284,239351,43019,8684,15902,28038,26378,556340,259958,139162,26463,60708
05000US04015,"Mohave County, Arizona",203629,203629,15.29769,13460.65,13311.09,149.5545,24527,792,180,855,8885,4580,3921,979,9592,4042,3123,13443,13715,9612,7056,126,6780,1321,1935,28914,10422,625,335,119,1222,1683,27561,24503,14561,832,3772
05000US04017,"Navajo County, Arizona",108209,108209,10.8754,9959.187,9949.89,9.296612,12588,397,115,492,7359,2330,1195,435,4246,2267,1359,9045,4148,10364,3773,78,5055,470,1265,9065,11695,350,48,92,1564,1000,17760,7156,2138,333,3171
05000US04019,"Pima County, Arizona",1003338,1003338,109.2103,9189.251,9187.215,2.035938,81218,13216,5054,2854,43458,26949,28731,7497,49902,17601,24617,108095,49629,76060,42278,801,32118,13067,9093,152745,58947,12118,2236,7608,9862,7020,121020,86938,34614,8158,14822
05000US04021,"Pinal County, Arizona",397604,397604,74.09901,5374.466,5365.848,8.618183,40697,2083,729,2067,14670,8599,13214,2514,16557,7057,8939,30043,15032,25588,10664,347,10223,2585,2812,58169,22944,343,827,528,2140,3027,43481,35060,18454,4192,6259
05000US04023,"Santa Cruz County, Arizona",46547,46547,37.63131,1238.114,1236.922,1.192301,7255,286,98,63,1879,1033,1023,1593,2921,1341,872,3456,1307,3481,2745,61,1726,294,1172,7037,3855,69,57,16,276,310,7145,1839,778,645,1427
05000US04025,"Yavapai County, Arizona",218586,218586,26.90782,8127.952,8123.511,4.440783,16285,2046,836,413,7730,6413,4519,1493,10551,3552,3900,20311,10915,11909,12455,56,6147,2168,1696,37110,7695,481,269,814,2296,2929,27883,27094,9696,613,3204
05000US04027,"Yuma County, Arizona",203292,203292,36.86815,5519.113,5514.027,5.085474,35709,435,112,463,10368,4217,3093,2148,9270,2693,2571,14454,7821,15408,5276,144,5872,1272,874,27637,15561,1280,428,339,1968,832,35174,15010,8419,3048,4490
05000US05001,"Arkansas County, Arkansas",18569,18569,18.7793,1033.749,988.8013,44.94791,2228,90,43,83,806,414,1919,319,908,398,254,1538,420,1338,1012,68,732,210,199,2334,1218,20,15,70,191,77,1748,1221,214,20,545
